timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691238262860,1094,SINGLE USERS,200,OK,Thread Group 1-4,text,true,,994,122,9,9,https://reqres.in/api/users/2,1082,0,1026
1691238263445,509,SINGLE USERS,200,OK,Thread Group 1-7,text,true,,998,122,9,9,https://reqres.in/api/users/2,495,0,427
1691238263244,710,SINGLE USERS,200,OK,Thread Group 1-6,text,true,,994,122,9,9,https://reqres.in/api/users/2,693,0,658
1691238263045,909,SINGLE USERS,200,OK,Thread Group 1-5,text,true,,998,122,9,9,https://reqres.in/api/users/2,892,0,828
1691238262581,1373,SINGLE USERS,200,OK,Thread Group 1-2,text,true,,998,122,9,9,https://reqres.in/api/users/2,1366,0,1332
1691238262666,1288,SINGLE USERS,200,OK,Thread Group 1-3,text,true,,998,122,9,9,https://reqres.in/api/users/2,1271,0,1201
1691238263655,299,SINGLE USERS,200,OK,Thread Group 1-8,text,true,,1002,122,9,9,https://reqres.in/api/users/2,287,0,233
1691238262580,1372,SINGLE USERS,200,OK,Thread Group 1-1,text,true,,996,122,9,9,https://reqres.in/api/users/2,1356,0,1319
1691238263914,85,SINGLE USERS,200,OK,Thread Group 1-9,text,true,,994,122,9,9,https://reqres.in/api/users/2,85,0,49
1691238264043,59,SINGLE USERS,200,OK,Thread Group 1-10,text,true,,1002,122,10,10,https://reqres.in/api/users/2,59,0,29
1691238263959,416,CREATE USER,201,Created,Thread Group 1-5,text,true,,717,232,10,10,https://reqres.in/api/users,416,0,0
1691238264376,13,UPDATE USER,200,OK,Thread Group 1-5,text,true,,998,240,10,10,https://reqres.in/api/users/2,13,0,0
1691238263959,430,CREATE USER,201,Created,Thread Group 1-6,text,true,,709,232,10,10,https://reqres.in/api/users,430,0,0
1691238263960,429,CREATE USER,201,Created,Thread Group 1-2,text,true,,713,232,10,10,https://reqres.in/api/users,429,0,0
1691238263958,437,CREATE USER,201,Created,Thread Group 1-4,text,true,,714,232,9,9,https://reqres.in/api/users,437,0,0
1691238264389,21,UPDATE USER,200,OK,Thread Group 1-6,text,true,,1000,240,9,9,https://reqres.in/api/users/2,21,0,0
1691238264396,14,UPDATE USER,200,OK,Thread Group 1-4,text,true,,1000,240,9,9,https://reqres.in/api/users/2,14,0,0
1691238264391,26,UPDATE USER,200,OK,Thread Group 1-2,text,true,,996,240,7,7,https://reqres.in/api/users/2,26,0,0
1691238264000,424,CREATE USER,201,Created,Thread Group 1-9,text,true,,715,232,6,6,https://reqres.in/api/users,424,0,0
1691238264425,17,UPDATE USER,200,OK,Thread Group 1-9,text,true,,992,240,6,6,https://reqres.in/api/users/2,17,0,0
1691238264103,420,CREATE USER,201,Created,Thread Group 1-10,text,true,,717,232,5,5,https://reqres.in/api/users,419,0,0
1691238263959,572,CREATE USER,201,Created,Thread Group 1-7,text,true,,707,232,5,5,https://reqres.in/api/users,572,0,0
1691238264531,13,UPDATE USER,200,OK,Thread Group 1-7,text,true,,994,240,5,5,https://reqres.in/api/users/2,13,0,0
1691238264528,22,UPDATE USER,200,OK,Thread Group 1-10,text,true,,998,240,4,4,https://reqres.in/api/users/2,22,0,0
1691238263966,615,CREATE USER,201,Created,Thread Group 1-1,text,true,,710,232,3,3,https://reqres.in/api/users,615,0,0
1691238263964,625,CREATE USER,201,Created,Thread Group 1-8,text,true,,707,232,3,3,https://reqres.in/api/users,625,0,0
1691238264581,20,UPDATE USER,200,OK,Thread Group 1-1,text,true,,1002,240,3,3,https://reqres.in/api/users/2,20,0,0
1691238263960,641,CREATE USER,201,Created,Thread Group 1-3,text,true,,713,232,3,3,https://reqres.in/api/users,641,0,0
1691238264590,18,UPDATE USER,200,OK,Thread Group 1-8,text,true,,996,240,2,2,https://reqres.in/api/users/2,18,0,0
1691238264602,15,UPDATE USER,200,OK,Thread Group 1-3,text,true,,998,240,1,1,https://reqres.in/api/users/2,15,0,0
