timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691263955561,1201,rokomari,200,OK,Thread Group 1-5,text,true,,501038,122,10,10,https://www.rokomari.com/book,577,0,476
1691263955161,1652,rokomari,200,OK,Thread Group 1-3,text,true,,501061,122,10,10,https://www.rokomari.com/book,990,0,876
1691263956207,609,rokomari,200,OK,Thread Group 1-8,text,true,,501042,122,10,10,https://www.rokomari.com/book,177,0,69
1691263955049,1804,rokomari,200,OK,Thread Group 1-1,text,true,,501057,122,10,10,https://www.rokomari.com/book,1088,0,989
1691263955783,1103,rokomari,200,OK,Thread Group 1-6,text,true,,501068,122,10,10,https://www.rokomari.com/book,355,0,254
1691263955050,2183,rokomari,200,OK,Thread Group 1-2,text,true,,501047,122,10,10,https://www.rokomari.com/book,1141,0,999
1691263956817,435,E-Book,200,OK,Thread Group 1-8,text,true,,283828,138,10,10,https://www.rokomari.com/book/ebook?ref=sm_p3,86,0,0
1691263956855,436,E-Book,200,OK,Thread Group 1-1,text,true,,283816,138,10,10,https://www.rokomari.com/book/ebook?ref=sm_p3,72,0,0
1691263956814,479,E-Book,200,OK,Thread Group 1-3,text,true,,283813,138,10,10,https://www.rokomari.com/book/ebook?ref=sm_p3,89,0,0
1691263956772,615,E-Book,200,OK,Thread Group 1-5,text,true,,283813,138,10,10,https://www.rokomari.com/book/ebook?ref=sm_p3,95,0,0
1691263957234,407,E-Book,200,OK,Thread Group 1-2,text,true,,283822,138,10,10,https://www.rokomari.com/book/ebook?ref=sm_p3,79,0,0
1691263955368,2277,rokomari,200,OK,Thread Group 1-4,text,true,,501035,122,10,10,https://www.rokomari.com/book,866,0,692
1691263957293,861,HSC Book,200,OK,Thread Group 1-1,text,true,,470139,164,10,10,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,83,0,0
1691263956887,1367,E-Book,200,OK,Thread Group 1-6,text,true,,283811,138,9,9,https://www.rokomari.com/book/ebook?ref=sm_p3,239,0,0
1691263957253,1039,HSC Book,200,OK,Thread Group 1-8,text,true,,470136,164,9,9,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,89,0,0
1691263956568,1752,rokomari,200,OK,Thread Group 1-10,text,true,,501044,122,8,8,https://www.rokomari.com/book,1167,0,1085
1691263957294,1031,HSC Book,200,OK,Thread Group 1-3,text,true,,470130,164,8,8,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,95,0,0
1691263957646,765,E-Book,200,OK,Thread Group 1-4,text,true,,283801,138,7,7,https://www.rokomari.com/book/ebook?ref=sm_p3,203,0,0
1691263956365,2184,rokomari,200,OK,Thread Group 1-9,text,true,,501035,122,7,7,https://www.rokomari.com/book,1138,0,1054
1691263958321,421,E-Book,200,OK,Thread Group 1-10,text,true,,283799,138,7,7,https://www.rokomari.com/book/ebook?ref=sm_p3,83,0,0
1691263958255,529,HSC Book,200,OK,Thread Group 1-6,text,true,,470136,164,7,7,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,110,0,0
1691263958411,439,HSC Book,200,OK,Thread Group 1-4,text,true,,470152,164,6,6,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,77,0,0
1691263957388,1504,HSC Book,200,OK,Thread Group 1-5,text,true,,470154,164,5,5,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,167,0,0
1691263958742,408,HSC Book,200,OK,Thread Group 1-10,text,true,,470132,164,4,4,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,92,0,0
1691263958552,685,E-Book,200,OK,Thread Group 1-9,text,true,,283815,138,3,3,https://www.rokomari.com/book/ebook?ref=sm_p3,137,0,0
1691263957641,1665,HSC Book,200,OK,Thread Group 1-2,text,true,,470154,164,3,3,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,209,0,0
1691263955970,3473,rokomari,200,OK,Thread Group 1-7,text,true,,501061,122,2,2,https://www.rokomari.com/book,228,0,151
1691263959238,304,HSC Book,200,OK,Thread Group 1-9,text,true,,470151,164,2,2,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,100,0,0
1691263959444,263,E-Book,200,OK,Thread Group 1-7,text,true,,283807,138,1,1,https://www.rokomari.com/book/ebook?ref=sm_p3,115,0,0
1691263959707,216,HSC Book,200,OK,Thread Group 1-7,text,true,,470149,164,1,1,https://www.rokomari.com/academic/college?class-11-and-12-hsc?ref=sm_p6,78,0,0
